Group,Perceived Usefulness,Perceived Ease of Use,Ease of Data Collection,Behavioral Intentions,Active Use,Satisfaction
A,3.6666666666666665,2.7333333333333334,2.6666666666666665,2.4,2.066666666666667,2.466666666666667
B,3.4,2.3333333333333335,1.6666666666666667,1.7333333333333334,1.7333333333333334,2.2666666666666666
