Group,Perceived Usefulness,Perceived Ease of Use,Ease of Data Collection,Behavioral Intentions,Active Use,Satisfaction
A,4.625,4.4375,4.875,3.75,3.6875,4.6875
B,4.285714285714286,4.5,4.714285714285714,4.071428571428571,3.857142857142857,4.642857142857143
